f1,f2,f3,f4,f5,f6,f7,f8,f9,eer
dAlpha,theta,vRatio,Y,dX,dAc,ddX,alpha,ac,0.13333333333333333
dAlpha,theta,vRatio,SIN,Y,dX,alpha,Z,COS,0.16666666666666669
dAlpha,theta,Y,dAc,ddX,vRatio,Z,alpha,7_WIN,0.16666666666666669
dAlpha,theta,vRatio,5_WIN,Y,v,dAc,dTheta,alpha,0.06666666666666667
dAlpha,dAc,dTheta,dRo,ddX,alpha,SIN,ac,ro,0.03333333333333333
dAlpha,theta,5_WIN,Y,dAc,ddX,X,alpha,dv,0.2
dAlpha,theta,5_WIN,Y,dAc,dTheta,X,alpha,dZ,0.2
dAlpha,theta,5_WIN,Y,dAc,dTheta,ddX,X,7_WIN,0.23333333333333334
dAlpha,theta,vRatio,dAc,dTheta,alpha,Z,7_WIN,PENSUP,0.03333333333333333
dAlpha,theta,vRatio,Y,alpha,SIN,COS,7_WIN,PENSUP,0.1
dAlpha,5_WIN,Y,dAc,dTheta,ddX,X,alpha,PENSUP,0.2333333333333333
dAlpha,theta,Y,ro,dAc,X,COS,dv,PENSUP,0.03333333333333333
theta,Y,ddY,v,dAc,dTheta,ddX,X,alpha,0.0
dAlpha,theta,5_WIN,dAc,dTheta,ddX,X,alpha,dv,0.03333333333333333
dAlpha,theta,Y,dTheta,ddX,vRatio,ro,7_WIN,PENSUP,0.1
dAlpha,theta,X,5_WIN,Y,dAc,dTheta,ddX,dX,0.09999999999999999
dAlpha,theta,5_WIN,Y,dAc,dTheta,ddX,X,alpha,0.0
dAlpha,theta,dAc,dTheta,vRatio,Z,COS,7_WIN,dv,0.2
dAlpha,theta,Y,dAc,dRo,vRatio,COS,dY,ro,0.23333333333333334
dAlpha,theta,5_WIN,Y,dAc,dTheta,X,alpha,7_WIN,0.16666666666666666
dAlpha,theta,5_WIN,Y,dAc,dTheta,ddX,X,7_WIN,0.19999999999999998
theta,5_WIN,Y,ddY,v,dAc,X,ac,alpha,0.03333333333333333
dAlpha,theta,5_WIN,Y,dAc,dTheta,ddX,X,7_WIN,0.03333333333333334
dAlpha,theta,5_WIN,Y,dAc,dTheta,ddX,X,alpha,0.06666666666666667
dAlpha,theta,5_WIN,Y,dAc,dTheta,ddX,X,PENSUP,0.0
dAlpha,theta,5_WIN,Y,dAc,dTheta,vRatio,SIN,7_WIN,0.06666666666666668
theta,5_WIN,vRatio,Y,dTheta,alpha,Z,dZ,PENSUP,0.13333333333333336
dAlpha,theta,vRatio,Y,dAc,dTheta,alpha,SIN,COS,0.16666666666666666
dAlpha,theta,dAc,ddX,vRatio,Z,ac,alpha,dv,0.3
