f1,f2,f3,f4,f5,f6,f7,f8,f9,eer
ddX,dTheta,ddY,vRatio,7_WIN,alpha,X,dAc,ro,0.0
ddX,dTheta,ddY,vRatio,7_WIN,dAc,dZ,Y,ro,0.0
ddX,dTheta,ddY,vRatio,7_WIN,dAc,dZ,SIN,ro,0.0
ddX,dTheta,ddY,vRatio,7_WIN,X,dAc,dZ,ro,0.0
ddX,dTheta,ddY,vRatio,7_WIN,dAc,dZ,ac,ro,0.0
ddX,dTheta,ddY,vRatio,7_WIN,alpha,dAc,dZ,ro,0.0
ddX,dTheta,ddY,vRatio,7_WIN,Z,dAc,v,ro,0.0
ddX,dTheta,ddY,vRatio,Z,dAc,dZ,SIN,ro,0.0
ddX,dTheta,ddY,vRatio,7_WIN,alpha,dAc,dZ,ro,0.0
ddX,dTheta,ddY,vRatio,7_WIN,theta,dAc,dZ,ro,0.0
ddX,dTheta,ddY,vRatio,Z,7_WIN,dAc,dZ,ro,0.0
ddX,dTheta,ddY,vRatio,7_WIN,dAc,dZ,SIN,ro,0.0
ddX,dTheta,ddY,vRatio,7_WIN,dAc,dZ,SIN,ro,0.0
ddX,dTheta,ddY,vRatio,7_WIN,alpha,dAc,dZ,ro,0.0
ddX,dTheta,ddY,vRatio,Z,7_WIN,theta,dAc,ro,0.0
theta,dY,v,X,Z,Y,COS,ddX,ddY,0.0
theta,dY,v,X,Z,Y,COS,ddX,ddY,0.0
theta,dY,v,X,Z,Y,COS,ddX,dX,0.0
theta,dY,v,X,Z,Y,COS,ddX,dZ,0.0
theta,dY,v,X,Z,Y,COS,ddX,dZ,0.0
theta,dY,v,X,Z,Y,COS,ddX,SIN,0.0
v,dY,theta,X,Z,Y,COS,ddX,dZ,0.0
theta,dY,v,X,Z,Y,COS,ddX,ddY,0.0
v,dY,theta,X,Z,Y,COS,ddX,dv,0.0
dY,theta,v,X,Z,Y,COS,ddX,ddY,0.0
v,dY,theta,X,Z,Y,COS,ddX,ddY,0.0
theta,dY,v,X,Z,Y,COS,ddX,dX,0.0
v,dY,theta,X,Z,Y,COS,ddX,SIN,0.0
v,dY,theta,X,Z,Y,COS,ddX,dZ,0.0
