f1,f2,f3,f4,f5,f6,f7,f8,f9,eer
dAc,Y,ddY,dY,7_WIN,vRatio,SIN,X,COS,0.0
dAc,theta,Y,v,ro,dY,ac,dTheta,X,0.0
dAc,alpha,ddY,vRatio,ac,X,Z,dZ,dv,0.0
5_WIN,v,ddY,dY,vRatio,ac,X,dv,COS,0.0
dAc,dRo,ddY,dY,vRatio,ac,ddX,alpha,Z,0.0
dAc,dRo,v,dX,ddY,dY,vRatio,alpha,dv,0.0
dAc,ddY,dY,ac,vRatio,dTheta,ddX,X,Z,0.0
dAc,theta,ddY,dY,ac,ddX,X,dZ,dv,0.0
5_WIN,theta,Y,dAlpha,v,ddY,dY,dv,Z,0.0
dAc,dRo,v,ro,vRatio,ac,COS,Z,dZ,0.0
dAc,5_WIN,Y,dX,vRatio,SIN,dv,Z,COS,0.0
theta,X,v,ddY,vRatio,ddX,COS,dZ,dv,0.0
Y,X,dRo,ddY,vRatio,dTheta,ddX,dv,COS,0.0
dAc,dRo,v,ro,vRatio,ac,ddX,alpha,dv,0.0
dAc,alpha,dRo,ro,vRatio,ddX,X,Z,dZ,0.0
dAc,dRo,v,dX,ddY,vRatio,ddX,X,dv,0.0
Y,dAlpha,ddY,ac,vRatio,SIN,ddX,X,Z,0.0
dAc,alpha,dAlpha,dY,vRatio,ddX,X,dZ,COS,0.0
alpha,theta,Y,dRo,vRatio,ddX,X,Z,COS,0.0
theta,Y,dRo,ddY,dY,vRatio,dTheta,COS,Z,0.0
theta,Y,dRo,ddY,dY,vRatio,dTheta,COS,Z,0.0
dAc,dTheta,dRo,v,ac,ddX,dv,Z,dZ,0.0
dTheta,theta,dAlpha,ddY,SIN,ddX,X,dZ,dv,0.0
dAc,Y,ro,dX,ac,SIN,ddX,dv,dZ,0.0
dAc,dTheta,Y,dAlpha,v,dX,vRatio,ac,COS,0.0
dAc,dRo,X,v,dX,ddY,vRatio,COS,dv,0.0
theta,Y,dAlpha,X,vRatio,ac,ddX,dv,dZ,0.0
dAc,SIN,theta,Y,v,dX,vRatio,ac,X,0.0
dAc,theta,Y,dAlpha,ac,dTheta,dv,Z,COS,0.0
