f1,f2,f3,f4,f5,f6,f7,f8,f9,eer
theta,vRatio,COS,Y,PENSUP,5_WIN,SIN,dRo,dAc,0.10000000000000003
theta,Y,ddX,Z,dAlpha,SIN,alpha,dv,COS,0.19999999999930532
vRatio,Y,ddX,dAlpha,dX,5_WIN,dRo,v,dZ,0.15000000000039557
ddX,PENSUP,ddY,dX,5_WIN,dRo,dAc,7_WIN,COS,0.09999999999996964
theta,vRatio,Y,ddX,PENSUP,dAlpha,dX,5_WIN,COS,0.0
Y,Z,PENSUP,dAlpha,ddY,5_WIN,ro,dZ,7_WIN,0.1999999999999999
theta,vRatio,Y,ddX,Z,PENSUP,dX,ro,COS,0.25
theta,vRatio,Y,ddX,Z,PENSUP,dAlpha,dX,COS,0.25
theta,vRatio,Y,ddX,PENSUP,dAlpha,5_WIN,dTheta,COS,0.0
theta,vRatio,ddX,Z,dAlpha,ddY,dRo,dv,COS,0.050000000000475955
theta,PENSUP,dX,dRo,v,dv,ac,7_WIN,dY,0.34999999999898723
theta,vRatio,Y,ddX,PENSUP,dAlpha,dX,dZ,COS,0.0
theta,vRatio,Y,ddX,PENSUP,dAlpha,dX,dTheta,COS,0.0
theta,vRatio,Y,ddX,PENSUP,dAlpha,dX,5_WIN,COS,0.0
theta,vRatio,Y,Z,dX,5_WIN,dv,dTheta,COS,0.05000000000004372
theta,Y,Z,dAlpha,dX,5_WIN,dTheta,dZ,7_WIN,0.04999999999937074
theta,vRatio,Y,ddX,PENSUP,dAlpha,dX,5_WIN,COS,0.0
theta,Y,ddX,Z,dX,5_WIN,dRo,dZ,ro,0.09999999999999998
ddX,Y,dAlpha,ddY,5_WIN,dAc,dv,ro,COS,0.20000000000006815
theta,vRatio,Y,dX,v,dv,dZ,ro,7_WIN,0.10000000000000102
ddX,Y,dAlpha,dX,5_WIN,v,dZ,7_WIN,dY,0.1499999999990594
theta,vRatio,Y,ddX,PENSUP,dAlpha,dX,5_WIN,COS,0.0
theta,vRatio,Y,ddX,PENSUP,dAlpha,dX,5_WIN,COS,0.0
theta,vRatio,Y,PENSUP,dAlpha,ddY,dTheta,7_WIN,COS,0.10000000000017649
theta,vRatio,Y,ddX,PENSUP,dAlpha,dX,5_WIN,COS,0.0
vRatio,ddX,Y,PENSUP,dAlpha,5_WIN,X,v,7_WIN,0.09999999999996964
ddX,dX,5_WIN,v,dv,dAc,ro,alpha,7_WIN,0.14999999999944308
theta,vRatio,Y,ddX,PENSUP,dAlpha,X,ro,COS,0.1500000000000114
theta,Y,Z,PENSUP,ddY,dX,5_WIN,SIN,dTheta,0.2999999999985076
